candidate,round1,round2,round3,round4,round5,round6,round7,round8,impute,trial,rank
RICHIE GREENBERG,7062,7062,7153,7259,NA,NA,NA,NA,vote_choice,49,6
AMY FARAH WEISS,1683,1683,1750,NA,NA,NA,NA,NA,vote_choice,49,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,49,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,49,9
"NA",0,0,0,67,405,2255,9968,18414,vote_choice,49,10
LONDON BREED,92197,92200,92344,92563,94133,97496,104315,117156,vote_choice,50,1
MARK LENO,61515,61515,61651,62024,63338,64780,70045,115777,vote_choice,50,2
JANE KIM,60837,60837,60951,61593,62207,63841,67127,NA,vote_choice,50,3
ANGELA ALIOTO,17600,17600,17812,18011,20318,23016,NA,NA,vote_choice,50,4
ELLEN LEE ZHOU,9597,9597,9726,9867,10969,NA,NA,NA,vote_choice,50,5
RICHIE GREENBERG,7062,7062,7155,7264,NA,NA,NA,NA,vote_choice,50,6
AMY FARAH WEISS,1683,1683,1759,NA,NA,NA,NA,NA,vote_choice,50,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,50,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,50,9
"NA",0,0,0,76,433,2265,9911,18465,vote_choice,50,10
LONDON BREED,92197,92200,92342,92552,94086,97402,104292,117128,vote_choice,51,1
MARK LENO,61515,61515,61654,62031,63363,64790,70042,115737,vote_choice,51,2
JANE KIM,60837,60837,60944,61586,62167,63832,67012,NA,vote_choice,51,3
ANGELA ALIOTO,17600,17600,17820,18027,20384,23088,NA,NA,vote_choice,51,4
ELLEN LEE ZHOU,9597,9597,9728,9865,10988,NA,NA,NA,vote_choice,51,5
RICHIE GREENBERG,7062,7062,7157,7267,NA,NA,NA,NA,vote_choice,51,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,51,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,51,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,51,9
"NA",0,0,0,70,410,2286,10052,18533,vote_choice,51,10
LONDON BREED,92197,92200,92342,92558,94152,97481,104375,117126,vote_choice,52,1
MARK LENO,61515,61515,61654,62026,63332,64771,69973,115754,vote_choice,52,2
JANE KIM,60837,60837,60945,61582,62137,63757,66943,NA,vote_choice,52,3
ANGELA ALIOTO,17600,17600,17819,18025,20392,23116,NA,NA,vote_choice,52,4
ELLEN LEE ZHOU,9597,9597,9725,9867,10961,NA,NA,NA,vote_choice,52,5
RICHIE GREENBERG,7062,7062,7154,7264,NA,NA,NA,NA,vote_choice,52,6
AMY FARAH WEISS,1683,1683,1759,NA,NA,NA,NA,NA,vote_choice,52,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,52,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,52,9
"NA",0,0,0,76,424,2273,10107,18518,vote_choice,52,10
LONDON BREED,92197,92200,92334,92549,94118,97456,104308,117123,vote_choice,53,1
MARK LENO,61515,61515,61659,62025,63345,64799,70041,115757,vote_choice,53,2
JANE KIM,60837,60837,60947,61572,62160,63804,67032,NA,vote_choice,53,3
ANGELA ALIOTO,17600,17600,17821,18031,20373,23057,NA,NA,vote_choice,53,4
ELLEN LEE ZHOU,9597,9597,9731,9876,10975,NA,NA,NA,vote_choice,53,5
RICHIE GREENBERG,7062,7062,7150,7272,NA,NA,NA,NA,vote_choice,53,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,vote_choice,53,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,53,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,53,9
"NA",0,0,0,73,427,2282,10017,18518,vote_choice,53,10
LONDON BREED,92197,92200,92338,92550,94140,97430,104211,117038,vote_choice,54,1
MARK LENO,61515,61515,61661,62037,63372,64825,70130,115831,vote_choice,54,2
JANE KIM,60837,60837,60943,61580,62160,63792,67021,NA,vote_choice,54,3
ANGELA ALIOTO,17600,17600,17824,18028,20336,23084,NA,NA,vote_choice,54,4
ELLEN LEE ZHOU,9597,9597,9732,9872,10974,NA,NA,NA,vote_choice,54,5
RICHIE GREENBERG,7062,7062,7151,7265,NA,NA,NA,NA,vote_choice,54,6
AMY FARAH WEISS,1683,1683,1749,NA,NA,NA,NA,NA,vote_choice,54,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,54,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,54,9
"NA",0,0,0,66,416,2267,10036,18529,vote_choice,54,10
LONDON BREED,92197,92200,92345,92562,94143,97458,104249,117088,vote_choice,55,1
MARK LENO,61515,61515,61653,62022,63396,64845,70138,115844,vote_choice,55,2
JANE KIM,60837,60837,60943,61579,62165,63803,67049,NA,vote_choice,55,3
ANGELA ALIOTO,17600,17600,17816,18020,20329,23049,NA,NA,vote_choice,55,4
ELLEN LEE ZHOU,9597,9597,9737,9885,10957,NA,NA,NA,vote_choice,55,5
RICHIE GREENBERG,7062,7062,7153,7262,NA,NA,NA,NA,vote_choice,55,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice,55,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,55,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,55,9
"NA",0,0,0,68,408,2243,9962,18466,vote_choice,55,10
LONDON BREED,92197,92200,92341,92552,94167,97445,104279,117103,vote_choice,56,1
MARK LENO,61515,61515,61653,62029,63338,64773,70059,115766,vote_choice,56,2
JANE KIM,60837,60837,60943,61581,62131,63792,67016,NA,vote_choice,56,3
ANGELA ALIOTO,17600,17600,17823,18032,20378,23122,NA,NA,vote_choice,56,4
ELLEN LEE ZHOU,9597,9597,9734,9875,10980,NA,NA,NA,vote_choice,56,5
RICHIE GREENBERG,7062,7062,7150,7258,NA,NA,NA,NA,vote_choice,56,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,56,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,56,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,56,9
"NA",0,0,0,71,404,2266,10044,18529,vote_choice,56,10
LONDON BREED,92197,92200,92341,92562,94117,97451,104296,117131,vote_choice,57,1
MARK LENO,61515,61515,61652,62024,63378,64820,70068,115770,vote_choice,57,2
JANE KIM,60837,60837,60942,61577,62137,63793,66983,NA,vote_choice,57,3
ANGELA ALIOTO,17600,17600,17828,18031,20378,23065,NA,NA,vote_choice,57,4
ELLEN LEE ZHOU,9597,9597,9729,9874,10962,NA,NA,NA,vote_choice,57,5
RICHIE GREENBERG,7062,7062,7153,7260,NA,NA,NA,NA,vote_choice,57,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,57,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,57,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,57,9
"NA",0,0,0,70,426,2269,10051,18497,vote_choice,57,10
LONDON BREED,92197,92200,92345,92552,94144,97466,104310,117131,vote_choice,58,1
MARK LENO,61515,61515,61650,62033,63328,64779,70090,115806,vote_choice,58,2
JANE KIM,60837,60837,60953,61594,62193,63817,67024,NA,vote_choice,58,3
ANGELA ALIOTO,17600,17600,17821,18019,20358,23049,NA,NA,vote_choice,58,4
ELLEN LEE ZHOU,9597,9597,9725,9866,10969,NA,NA,NA,vote_choice,58,5
RICHIE GREENBERG,7062,7062,7149,7262,NA,NA,NA,NA,vote_choice,58,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice,58,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,58,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,58,9
"NA",0,0,0,72,406,2287,9974,18461,vote_choice,58,10
LONDON BREED,92197,92200,92343,92555,94130,97444,104293,117103,vote_choice,59,1
MARK LENO,61515,61515,61659,62043,63357,64813,70109,115845,vote_choice,59,2
JANE KIM,60837,60837,60947,61582,62159,63804,66965,NA,vote_choice,59,3
ANGELA ALIOTO,17600,17600,17814,18015,20389,23115,NA,NA,vote_choice,59,4
ELLEN LEE ZHOU,9597,9597,9726,9867,10954,NA,NA,NA,vote_choice,59,5
RICHIE GREENBERG,7062,7062,7153,7263,NA,NA,NA,NA,vote_choice,59,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,vote_choice,59,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,59,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,59,9
"NA",0,0,0,73,409,2222,10031,18450,vote_choice,59,10
LONDON BREED,92197,92200,92339,92549,94131,97459,104277,117143,vote_choice,60,1
MARK LENO,61515,61515,61657,62038,63377,64864,70133,115823,vote_choice,60,2
JANE KIM,60837,60837,60943,61581,62164,63775,66995,NA,vote_choice,60,3
ANGELA ALIOTO,17600,17600,17822,18020,20332,23027,NA,NA,vote_choice,60,4
ELLEN LEE ZHOU,9597,9597,9732,9879,10974,NA,NA,NA,vote_choice,60,5
RICHIE GREENBERG,7062,7062,7148,7257,NA,NA,NA,NA,vote_choice,60,6
AMY FARAH WEISS,1683,1683,1757,NA,NA,NA,NA,NA,vote_choice,60,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,60,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,60,9
"NA",0,0,0,74,420,2273,9993,18432,vote_choice,60,10
LONDON BREED,92197,92200,92337,92551,94142,97448,104357,117179,vote_choice,61,1
MARK LENO,61515,61515,61656,62025,63344,64807,69999,115705,vote_choice,61,2
JANE KIM,60837,60837,60948,61589,62186,63819,67060,NA,vote_choice,61,3
ANGELA ALIOTO,17600,17600,17810,18012,20329,23048,NA,NA,vote_choice,61,4
ELLEN LEE ZHOU,9597,9597,9734,9881,10978,NA,NA,NA,vote_choice,61,5
RICHIE GREENBERG,7062,7062,7154,7264,NA,NA,NA,NA,vote_choice,61,6
AMY FARAH WEISS,1683,1683,1759,NA,NA,NA,NA,NA,vote_choice,61,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,61,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,61,9
"NA",0,0,0,76,419,2276,9982,18514,vote_choice,61,10
LONDON BREED,92197,92200,92344,92556,94137,97412,104281,117079,vote_choice,62,1
MARK LENO,61515,61515,61663,62045,63403,64852,70074,115819,vote_choice,62,2
JANE KIM,60837,60837,60940,61574,62140,63793,66992,NA,vote_choice,62,3
ANGELA ALIOTO,17600,17600,17814,18014,20388,23111,NA,NA,vote_choice,62,4
ELLEN LEE ZHOU,9597,9597,9726,9869,10924,NA,NA,NA,vote_choice,62,5
RICHIE GREENBERG,7062,7062,7153,7265,NA,NA,NA,NA,vote_choice,62,6
AMY FARAH WEISS,1683,1683,1758,NA,NA,NA,NA,NA,vote_choice,62,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,62,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,62,9
"NA",0,0,0,75,406,2230,10051,18500,vote_choice,62,10
LONDON BREED,92197,92200,92346,92553,94142,97393,104319,117105,vote_choice,63,1
MARK LENO,61515,61515,61648,62022,63363,64810,70027,115770,vote_choice,63,2
JANE KIM,60837,60837,60947,61592,62164,63792,66961,NA,vote_choice,63,3
ANGELA ALIOTO,17600,17600,17816,18025,20365,23116,NA,NA,vote_choice,63,4
ELLEN LEE ZHOU,9597,9597,9732,9868,10935,NA,NA,NA,vote_choice,63,5
RICHIE GREENBERG,7062,7062,7154,7266,NA,NA,NA,NA,vote_choice,63,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice,63,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,63,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,63,9
"NA",0,0,0,72,429,2287,10091,18523,vote_choice,63,10
LONDON BREED,92197,92200,92341,92555,94164,97509,104323,117167,vote_choice,64,1
MARK LENO,61515,61515,61656,62039,63354,64785,70024,115719,vote_choice,64,2
JANE KIM,60837,60837,60942,61574,62158,63826,67054,NA,vote_choice,64,3
ANGELA ALIOTO,17600,17600,17811,18013,20340,23012,NA,NA,vote_choice,64,4
ELLEN LEE ZHOU,9597,9597,9734,9875,10957,NA,NA,NA,vote_choice,64,5
RICHIE GREENBERG,7062,7062,7160,7271,NA,NA,NA,NA,vote_choice,64,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,64,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,64,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,64,9
"NA",0,0,0,71,425,2266,9997,18512,vote_choice,64,10
LONDON BREED,92197,92200,92346,92556,94116,97402,104249,117114,vote_choice,65,1
MARK LENO,61515,61515,61654,62027,63382,64819,70062,115728,vote_choice,65,2
JANE KIM,60837,60837,60945,61592,62167,63857,67041,NA,vote_choice,65,3
ANGELA ALIOTO,17600,17600,17811,18017,20339,23043,NA,NA,vote_choice,65,4
ELLEN LEE ZHOU,9597,9597,9733,9869,10973,NA,NA,NA,vote_choice,65,5
RICHIE GREENBERG,7062,7062,7149,7260,NA,NA,NA,NA,vote_choice,65,6
AMY FARAH WEISS,1683,1683,1760,NA,NA,NA,NA,NA,vote_choice,65,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,65,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,65,9
"NA",0,0,0,77,421,2277,10046,18556,vote_choice,65,10
LONDON BREED,92197,92200,92334,92545,94098,97377,104263,117091,vote_choice,66,1
MARK LENO,61515,61515,61653,62030,63371,64815,70015,115709,vote_choice,66,2
JANE KIM,60837,60837,60956,61600,62174,63819,67063,NA,vote_choice,66,3
ANGELA ALIOTO,17600,17600,17818,18022,20358,23093,NA,NA,vote_choice,66,4
ELLEN LEE ZHOU,9597,9597,9735,9875,10979,NA,NA,NA,vote_choice,66,5
RICHIE GREENBERG,7062,7062,7149,7256,NA,NA,NA,NA,vote_choice,66,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,66,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,66,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,66,9
"NA",0,0,0,70,418,2294,10057,18598,vote_choice,66,10
LONDON BREED,92197,92200,92342,92556,94135,97398,104225,117047,vote_choice,67,1
MARK LENO,61515,61515,61654,62027,63338,64811,70105,115821,vote_choice,67,2
JANE KIM,60837,60837,60944,61589,62169,63792,67008,NA,vote_choice,67,3
ANGELA ALIOTO,17600,17600,17820,18016,20388,23125,NA,NA,vote_choice,67,4
ELLEN LEE ZHOU,9597,9597,9732,9877,10956,NA,NA,NA,vote_choice,67,5
RICHIE GREENBERG,7062,7062,7152,7262,NA,NA,NA,NA,vote_choice,67,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,67,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,67,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,67,9
"NA",0,0,0,71,412,2272,10060,18530,vote_choice,67,10
LONDON BREED,92197,92200,92347,92564,94147,97449,104298,117086,vote_choice,68,1
MARK LENO,61515,61515,61651,62021,63359,64804,70039,115822,vote_choice,68,2
JANE KIM,60837,60837,60944,61577,62162,63798,67001,NA,vote_choice,68,3
ANGELA ALIOTO,17600,17600,17817,18025,20333,23078,NA,NA,vote_choice,68,4
ELLEN LEE ZHOU,9597,9597,9728,9875,10986,NA,NA,NA,vote_choice,68,5
RICHIE GREENBERG,7062,7062,7152,7260,NA,NA,NA,NA,vote_choice,68,6
AMY FARAH WEISS,1683,1683,1759,NA,NA,NA,NA,NA,vote_choice,68,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,68,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,68,9
"NA",0,0,0,76,411,2269,10060,18490,vote_choice,68,10
LONDON BREED,92197,92200,92339,92552,94130,97454,104285,117088,vote_choice,69,1
MARK LENO,61515,61515,61654,62031,63344,64773,69999,115739,vote_choice,69,2
JANE KIM,60837,60837,60942,61582,62160,63823,67048,NA,vote_choice,69,3
ANGELA ALIOTO,17600,17600,17815,18017,20373,23077,NA,NA,vote_choice,69,4
ELLEN LEE ZHOU,9597,9597,9735,9881,10982,NA,NA,NA,vote_choice,69,5
RICHIE GREENBERG,7062,7062,7160,7265,NA,NA,NA,NA,vote_choice,69,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,69,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,69,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,69,9
"NA",0,0,0,70,409,2271,10066,18571,vote_choice,69,10
LONDON BREED,92197,92200,92341,92555,94133,97451,104232,117062,vote_choice,70,1
MARK LENO,61515,61515,61656,62028,63354,64781,70087,115774,vote_choice,70,2
JANE KIM,60837,60837,60938,61573,62175,63858,67062,NA,vote_choice,70,3
ANGELA ALIOTO,17600,17600,17814,18023,20337,23037,NA,NA,vote_choice,70,4
ELLEN LEE ZHOU,9597,9597,9731,9875,10984,NA,NA,NA,vote_choice,70,5
RICHIE GREENBERG,7062,7062,7156,7265,NA,NA,NA,NA,vote_choice,70,6
AMY FARAH WEISS,1683,1683,1762,NA,NA,NA,NA,NA,vote_choice,70,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,70,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,70,9
"NA",0,0,0,79,415,2271,10017,18562,vote_choice,70,10
LONDON BREED,92197,92200,92343,92551,94141,97485,104300,117155,vote_choice,71,1
MARK LENO,61515,61515,61655,62036,63348,64777,69995,115687,vote_choice,71,2
JANE KIM,60837,60837,60941,61580,62171,63801,67044,NA,vote_choice,71,3
ANGELA ALIOTO,17600,17600,17821,18023,20350,23074,NA,NA,vote_choice,71,4
ELLEN LEE ZHOU,9597,9597,9722,9866,10978,NA,NA,NA,vote_choice,71,5
RICHIE GREENBERG,7062,7062,7152,7261,NA,NA,NA,NA,vote_choice,71,6
AMY FARAH WEISS,1683,1683,1764,NA,NA,NA,NA,NA,vote_choice,71,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,71,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,71,9
"NA",0,0,0,81,410,2261,10059,18556,vote_choice,71,10
LONDON BREED,92197,92200,92340,92552,94167,97463,104284,117117,vote_choice,72,1
MARK LENO,61515,61515,61658,62034,63346,64788,70054,115714,vote_choice,72,2
JANE KIM,60837,60837,60942,61585,62177,63831,67018,NA,vote_choice,72,3
ANGELA ALIOTO,17600,17600,17821,18022,20313,23033,NA,NA,vote_choice,72,4
ELLEN LEE ZHOU,9597,9597,9722,9862,10948,NA,NA,NA,vote_choice,72,5
RICHIE GREENBERG,7062,7062,7161,7272,NA,NA,NA,NA,vote_choice,72,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,72,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,72,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,72,9
"NA",0,0,0,71,447,2283,10042,18567,vote_choice,72,10
LONDON BREED,92197,92200,92339,92552,94130,97435,104295,117099,vote_choice,73,1
MARK LENO,61515,61515,61661,62043,63382,64827,70064,115818,vote_choice,73,2
JANE KIM,60837,60837,60949,61581,62155,63800,67015,NA,vote_choice,73,3
ANGELA ALIOTO,17600,17600,17819,18020,20366,23079,NA,NA,vote_choice,73,4
ELLEN LEE ZHOU,9597,9597,9725,9872,10955,NA,NA,NA,vote_choice,73,5
RICHIE GREENBERG,7062,7062,7148,7256,NA,NA,NA,NA,vote_choice,73,6
AMY FARAH WEISS,1683,1683,1757,NA,NA,NA,NA,NA,vote_choice,73,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,73,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,73,9
"NA",0,0,0,74,410,2257,10024,18481,vote_choice,73,10
LONDON BREED,92197,92200,92349,92565,94135,97425,104237,117057,vote_choice,74,1
MARK LENO,61515,61515,61661,62037,63396,64848,70124,115859,vote_choice,74,2
JANE KIM,60837,60837,60947,61587,62153,63806,67045,NA,vote_choice,74,3
ANGELA ALIOTO,17600,17600,17812,18012,20325,23033,NA,NA,vote_choice,74,4
ELLEN LEE ZHOU,9597,9597,9726,9868,10993,NA,NA,NA,vote_choice,74,5
RICHIE GREENBERG,7062,7062,7152,7261,NA,NA,NA,NA,vote_choice,74,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice,74,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,74,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,74,9
"NA",0,0,0,68,396,2286,9992,18482,vote_choice,74,10
LONDON BREED,92197,92200,92343,92548,94160,97455,104237,117048,vote_choice,75,1
MARK LENO,61515,61515,61651,62024,63345,64784,70061,115787,vote_choice,75,2
JANE KIM,60837,60837,60940,61586,62153,63804,67027,NA,vote_choice,75,3
ANGELA ALIOTO,17600,17600,17822,18022,20335,23061,NA,NA,vote_choice,75,4
ELLEN LEE ZHOU,9597,9597,9729,9883,11003,NA,NA,NA,vote_choice,75,5
RICHIE GREENBERG,7062,7062,7155,7260,NA,NA,NA,NA,vote_choice,75,6
AMY FARAH WEISS,1683,1683,1758,NA,NA,NA,NA,NA,vote_choice,75,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,75,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,75,9
"NA",0,0,0,75,402,2294,10073,18563,vote_choice,75,10
LONDON BREED,92197,92200,92337,92547,94145,97413,104243,117070,vote_choice,76,1
MARK LENO,61515,61515,61660,62035,63356,64832,70085,115792,vote_choice,76,2
JANE KIM,60837,60837,60948,61585,62168,63830,67023,NA,vote_choice,76,3
ANGELA ALIOTO,17600,17600,17820,18022,20359,23061,NA,NA,vote_choice,76,4
ELLEN LEE ZHOU,9597,9597,9724,9870,10952,NA,NA,NA,vote_choice,76,5
RICHIE GREENBERG,7062,7062,7147,7260,NA,NA,NA,NA,vote_choice,76,6
AMY FARAH WEISS,1683,1683,1762,NA,NA,NA,NA,NA,vote_choice,76,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,76,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,76,9
"NA",0,0,0,79,418,2262,10047,18536,vote_choice,76,10
LONDON BREED,92197,92200,92349,92554,94155,97459,104270,117079,vote_choice,77,1
MARK LENO,61515,61515,61649,62028,63364,64798,70106,115803,vote_choice,77,2
JANE KIM,60837,60837,60947,61582,62194,63847,67055,NA,vote_choice,77,3
ANGELA ALIOTO,17600,17600,17816,18026,20333,23050,NA,NA,vote_choice,77,4
ELLEN LEE ZHOU,9597,9597,9728,9875,10938,NA,NA,NA,vote_choice,77,5
RICHIE GREENBERG,7062,7062,7150,7257,NA,NA,NA,NA,vote_choice,77,6
AMY FARAH WEISS,1683,1683,1759,NA,NA,NA,NA,NA,vote_choice,77,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,77,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,77,9
"NA",0,0,0,76,414,2244,9967,18516,vote_choice,77,10
LONDON BREED,92197,92200,92344,92556,94138,97478,104277,117096,vote_choice,78,1
MARK LENO,61515,61515,61657,62031,63342,64778,70020,115772,vote_choice,78,2
JANE KIM,60837,60837,60957,61603,62201,63804,67028,NA,vote_choice,78,3
ANGELA ALIOTO,17600,17600,17809,18012,20332,23069,NA,NA,vote_choice,78,4
ELLEN LEE ZHOU,9597,9597,9726,9868,10978,NA,NA,NA,vote_choice,78,5
RICHIE GREENBERG,7062,7062,7150,7256,NA,NA,NA,NA,vote_choice,78,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice,78,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,78,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,78,9
"NA",0,0,0,72,407,2269,10073,18530,vote_choice,78,10
LONDON BREED,92197,92200,92353,92572,94184,97480,104373,117211,vote_choice,79,1
MARK LENO,61515,61515,61662,62034,63367,64818,70009,115713,vote_choice,79,2
JANE KIM,60837,60837,60946,61580,62157,63813,67035,NA,vote_choice,79,3
ANGELA ALIOTO,17600,17600,17812,18012,20302,23031,NA,NA,vote_choice,79,4
ELLEN LEE ZHOU,9597,9597,9720,9864,10971,NA,NA,NA,vote_choice,79,5
RICHIE GREENBERG,7062,7062,7150,7264,NA,NA,NA,NA,vote_choice,79,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice,79,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,79,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,79,9
"NA",0,0,0,72,417,2256,9981,18474,vote_choice,79,10
LONDON BREED,92197,92200,92346,92562,94157,97470,104273,117111,vote_choice,80,1
MARK LENO,61515,61515,61651,62024,63340,64769,70020,115715,vote_choice,80,2
JANE KIM,60837,60837,60940,61567,62153,63777,67009,NA,vote_choice,80,3
ANGELA ALIOTO,17600,17600,17831,18038,20323,23052,NA,NA,vote_choice,80,4
ELLEN LEE ZHOU,9597,9597,9724,9871,10985,NA,NA,NA,vote_choice,80,5
RICHIE GREENBERG,7062,7062,7154,7267,NA,NA,NA,NA,vote_choice,80,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice,80,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,80,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,80,9
"NA",0,0,0,69,440,2330,10096,18572,vote_choice,80,10
LONDON BREED,92197,92200,92345,92563,94152,97493,104350,117209,vote_choice,81,1
